,osing,indonesia
521,suggyal lare iku dolanan,bertingkah liar anak itu bermain
522,keronto-ronto atine wong iku,sedih sekali hati orang itu
523,sakpantaran karo kanca lawas,sebaya dengan teman lama
524,berane isun arep mulih,sebenarnya saya mau pulang
525,ered barang iki,seret barang ini
526,tumyan ngopi saben dina,sering minum kopi setiap hari
527,aron awak isun,sembuh badan saya
528,semembrung bau kembang melati,semerbak bau bunga melati
529,dewek isun ring umah,sendiri saya di rumah
530,byangete lare iku teko,sedang anak itu datang
531,pati isun teko ring kene,sering saya datang di sini
532,dewekan isun ring umah,sendirian saya di rumah
533,ancik-ancikan wong loro iku,bersenggama orang dua itu
534,unyik lambene lare iku,senyum bibirnya anak itu
535,sengidyan lare iku,sembunyi anak itu
536,sengidyakaken duwit iku,sembunyikan uang itu
537,mugi-mugi riko sehat,semoga kamu sehat
538,sakat wingi isun ring kene,sejak kemarin saya di sini
539,berai karo karepe,sesuai dengan keinginannya
540,gedigenan tingkahe lare iku,seperti ini tingkahnya anak itu
541,gedigonan tingkahe lare iku,seperti itu tingkahnya anak itu
542,serepet atine wong iku,setengah gila hati orang itu
543,sopo arane riko,siapa nama kamu
544,cawisaken panganan,siapakan makanan
545,abede lare iku apik seru,sikap anak itu baik sekali
546,abed iro kaser temenan,sikapmu kasar sekali
547,kedhapen moto isun,silau mata saya
548,ulap srengenge iki,silau matahari ini
549,garu rambute lare iku,sisir rambut anak itu
550,garuan rambute lare iku,sedang menyisir rambut anak itu
551,nongko londo iku enak seru,sirsak itu enak sekali
552,wis rampung gawean iki,sudah selesai pekerjaan ini
553,tembyeler barang-barang ring umah,suka taruh barang sembarangan barang-barang di rumah
554,bongak klambi iku,sobek menganga baju itu
555,sibrak kertas iku,sobek jadi dua kertas itu
556,guwang sendale,sompel sandalnya
557,gathak atine wong iku,sombong hatinya orang itu
558,anggak atine wong iku,sombong hati orang itu
559,gemerubyas suwara wit ambruk,suara jatuh dengan tiba-tiba suara pohon tumbang
560,gemerosak suwara bledheg,suara mengagetkan yang tiba-tiba suara petir
561,awean wong iku,suka memberi orang itu
562,gromyoh wong iku,supel orang itu
563,landhep lading iku,tajam pisau itu
564,ondok umah iku dhuwur seru,tangga rumah itu tinggi sekali
565,tap lemah iku,tata tanah itu
566,taping isun durung siap,tetapi saya belum siap
567,muko isun teko,tadi saya datang
568,kerahang wong iku madhang,tamak
569,tempeleng lare iku,tampar anak itu
570,enthal-enthul tangane,tangan kosong tangannya
571,janjang kembang iku,tangkai bunga itu
572,cenceng duwit iku,tanda jadi uang itu
573,anyeng tali iku,tarik tali itu
574,ampred barang iku,tarik dengan paksa barang itu
575,anyeng-anyengan lare iku,tarik-tarikan anak itu
576,mentolo isun ninggal riko,tega saya meninggalkan kamu
577,kauk-kauk lare iku,teriak-teriak anak itu
578,temakno riko wis teko,ternyata kamu sudah datang
579,byarak seru srengenge,terang sekali matahari
580,terimo kasih,terima kasih
581,trimo ya lik,terima kasih nak
582,tanduk bola iku,tendang bola itu
583,jemethot bal iku,telak bola itu
584,gemerubyas wit iku,tumbang pohon itu
585,namin isun durung siap,tetapi saya belum siap
586,kepeles atine wong iku,tertipu malu hati orang itu
587,berak-berak lare iku,teriak-teriak anak itu
588,jhodhogh dinggo lungguh,tempat duduk pendek di tanah untuk duduk
589,moto walangen lare iku,terbelalak matanya anak itu
590,ngidit lare iku,terbirit-birit anak itu
591,terbas mangsa iku,terkam mangsa itu
592,keloyong-loyong wong iku,tergila-gila orang itu
593,temencog lare iku,terjun anak itu
594,ladhak wong iku,teguh pendirian tanpa kompromi orang itu
595,kebelandur lare iku,terpeleset anak itu
596,kejelowok lare iku,terperosok anak itu
597,kejerongkong lare iku,terperosok anak itu
598,bebres sikile lare iku,tergores kakinya anak itu
599,melethuk bola iku,terlempar bola itu
600,ambek-ambekaneo omongane,terlalu ucapannya
601,sowok sihir dinggo nyelakai,teluh untuk mencelakai
602,merkingking godhong iku,terlalu kering daun itu
603,kobokan dinggo ngumbah tangan,tempat cuci tangan
604,paran jare riko ae,terserah kamu saja
605,cekakakan lare iku,terbahak-bahak anak itu
606,monyik lambene lare iku,tersenyum bibirnya anak itu
607,wes kadhung isun ninggal,terlanjur saya meninggalkan
608,mbyangkang lare iku,telanjang anak itu
609,mbyangkang kelenthang lare iku,telanjang bulat anak itu
610,jebeg dinggo nggiling bumbu,tempat untuk menggiling bumbu yang terbuat dari batu
611,canthuk dinggo nggiling,alat untuk menggiling
612,lebuh ring pinggir dalan,tempat sampah umum di pinggir jalan
613,jodog dinggo lungguh,tempat duduk pendek untuk duduk
614,kesanggleg klambine,tersangkut bajunya
615,nyanggleg klambine,nyangku bajunya
616,bintrong dinggo banyu,gelas yg terbuat dari alumunium yg ukurannya lebih besar dari gelas biasanya untuk air
617,kapiliro wong iku,tersiksa orang itu
618,keronto-ronto atine wong iku,tersiksa hati orang itu
619,protongan lare iku,terkejut dan salah tingkah anak itu
620,kebeselek lare iku,tersedak anak itu
621,kantru-kantru atine,teringat hatinya
622,gemuyu lare iku,tertawa anak itu
623,kekel lare iku,tertawa terpingkal-pingkal anak itu
624,ngonsrong lare iku,terengah-engah anak itu
625,keli barang iku,terseret barang itu
626,moro-moro udan,tiba-tiba hujan
627,omes-omes atine wong iku,tidak sabar hatinya orang itu
628,lebyak medekul dalan iku,tidak rata jalan itu
629,osing isun ngerti,tidak saya tahu
630,bengok lare iku,tidak tahu apa-apa anak itu
631,madak paran-paran,tidak apa-apa
632,heng endo-endo tingkahe,tidak bagus tingkahnya
633,ngewod lare iku,tidak bisa diam anak itu
634,nono duwit isun,tidak ada uang saya
635,reged ati iku,tidak suka muak hati itu
636,emong isun melu,tidak mau saya ikut
637,cengkal lare iku diwenehi ngerti,tidak mau dikasih tahu anak itu
638,camah rasane panganan iki,tidak khas lagi rasanya makanan ini
639,rempi awak isun,tidak kuat badan saya
640,kari isun dewek,tinggal saya sendiri
641,tujes maling iku,tikam maling itu
642,nyalingo hiro,tidak percaya kamu
643,ontong gedhang iku,tongkol pisang itu
644,nggelinting isun ring amben,tiduran saya di kasur
645,gumbleng kupinge,tuli sesaat telinganya
646,nekek wong iku,tua sekali orang itu
647,neb lawang iku,tutup pintu itu
648,geblugh lading iku,tumpul pisau itu
649,semprong geni iku,tiup api itu
650,yotro isun akeh seru,uang saya banyak sekali
651,sawi iku enak seru,ubi kayu itu enak sekali
652,sabrang iku legi seru,ubi jalar itu manis sekali
653,kanggo riko kabeh,untuk kamu semua
654,getak asu iku,usir anjing itu
655,luwas klambi iku,usang baju itu
656,kathik ae,usah saja
657,cumpune riko wis ngerti,umpama kamu sudah tahu
658,dak riko gelem melu,umpama kamu mau ikut
659,mursal wong iku,ugal-ugalan orang itu
660,ulog iku medeni,ular itu menakutkan
661,kerawu kangkung iku enak seru,urap kangkung itu enak sekali
662,celleng omongane wong iku,umpat ucapannya orang itu
663,wadon iku ayu seru,wanita itu cantik sekali
664,byek kaget isun,wah kaget saya
665,boros pinter temenan riko,wah pintar sekali kamu
666,wayah udan,waktu hujan
667,korep wajahe lare iku,wajah kotor wajahnya anak itu
668,mupakat ae,wajar saja
669,masio udan isun tetep budhal,walau hujan saya tetap berangkat
670,praenan riko ayu seru,wajah kamu cantik sekali
671,amening-amenning ae,waspada-waspada saja
672,kang isun seneng karo riko,yang saya suka dengan kamu
673,yok isun melu,ya saya ikut
674,paran maning hang arep diomongaken,apalagi yang mau diucapkan
675,paceke isun teko ring kene,acap kali saya datang ke sini
676,anggul-anggul ae omongane,alasan saja ucapannya
677,ono paran ring umah,ada apa di rumah
678,ono paran ring kono,ada apa di sana
679,bombong manuk iku,adu burung itu
680,myakne riko seneng,agar supaya kamu senang
681,byanyu mili deres,air mengalir deras
682,belabur banyu kali,air meluap air sungai
683,arep nang endi riko,akan ke mana kamu
684,isun seneng karo riko,aku suka dengan kamu
685,wawuh isun karo wong iku,akrab saya dengan orang itu
686,odod wit iku dawa,akar pohon itu panjang
687,wuruk kang becik,ajaran yang baik
688,ampet barang iku,ambil barang itu
689,gedhoh kopi,ampas kopi
690,imuk lare iku,amuk anak itu
691,lare iku pinter,anak itu pintar
692,sak majase ae,apa adanya saja
693,thulik iku nakal,anak laki-laki itu nakal
694,jebeng iku ayu,anak perempuan itu cantik
695,lare buru sore iku polos,anak yang belum tahu apa-apa
696,ancas isun marang riko,ancam saya kepadamu
697,riko arep nang endi,anda mau ke mana
698,ndiko arep ngunjuk teh,anda  mau minum teh
699,mungguo riko teko,andai kamu datang
700,waled daginge,alot dagingnya
701,paran hang dikarepaken,apa yang diinginkan
702,jajang dinggo pagar,bambu untuk pagar
703,kepos klambine,basah bajunya
704,kelumus klambine,basah kuyup bajunya
705,gyalapan jaran,balapan kuda
706,opor-oporan ring pantai,bakar-bakaran di pantai
707,banguryan tuku sing anyar,bagusan beli yang baru
708,kelendhi carane,bagaimana caranya
709,talar omongan iku,bantah omongan itu
710,byapak isun gagah,bapak saya gagah
711,merujuk wit kembang,baru tumbuh pohon bunga
712,beledhus baune,bau badan yg tak sedap
713,ngeloyong ring kolam,berenang di kolam
714,mencorot srengenge,bersinar matahari
715,melayu lare iku,berlari anak itu
716,merujuk wit jambu,bertunas pohon jambu
717,junggrang wit klapa,besar tinggi pohon kelapa
718,makne riko ngerti,biar kamu tahu
719,genengno ae,biarkan saja
720,memengan lare iku,bermain anak itu
721,lenged kipas angin,berputar kencang sekali kipas angin
722,ngontreng ban mobil,berputar-putar lepas kendali ban mobil
723,kening banyu sumur,bening air sumur
724,bik isun teko,bibi saya datang
725,jedhor bedug masjid,bedug masjid
726,gedigi carane ngomong,begini caranya berbicara
727,gedigu hang diomongaken,begitu yang diucapkan
728,angas nyaline,berani sekali nyalinya
729,abot beban iki,berat beban ini
730,mubyar intan permata,berkilauan
731,wanen atine,berani hatinya
732,gedhig umahe,besar rumahnya
733,seru temenan omongan iku,betul-betul sekali omongan itu
734,wanenan atine,beranian hatinya
735,mbenu lare iku,bandel anak itu
736,cengkal lare iku,bandel
737,gujreh mulute,belepotan dimulutnya
738,ngempos bis,berhenti bis
739,sarehne udan,berhubung hujan
740,pernah ring kene,betah di sini
741,pecak sikile,bekas kakinya
742,kempol sikile,betis kakinya
743,mernahi ati,bikin betah hati
744,celathu makne,bicara
745,blambyangan tanah kelairanku,blambangan tanah kelahiranku
746,gubab janjine,bohong janjinya
747,lencur sekolah,bolos sekolah
748,wuwunyan umah,bubungan rumah
749,mingis lawange,buka sedikit pintunya
750,jemblang lawange,buka lebar-lebar pintunya
751,kembang sepatu,bunga sepatu
752,bongol atine,bodoh hatinya
753,belog pikirane,bodoh sekali pikirannya
754,dongong wong iku,bodoh dan pelupa orang itu
755,engekno lawang,bukakan pintu
756,bliyak lawang,buka pintu
757,buyang sampah,buang sampah
758,puthuk gunung,bukit gunung
759,cengkir kelapa muda,buah kelapa yg masih sangat muda
760,gopoh mlaku,buru-buru
761,cerret,busyett
762,nagud oro,busyeet dah
763,celleng oro,busyet
764,golek iwak,cari ikan
765,golekeno banyu,carikan air
766,gromyoh atine,ceria hatinya
767,ampah kerjane,ceroboh kerjanya
768,dekok lemah,cekung
769,perdang-perding lare iku,celingukan anak itu
770,cupar wong iku,cemburu orang itu
771,sigunen isun,cigukan saya
772,ambung kembang,cium bunga
773,ngambung tangan,mencium tangan
774,gelang alit iki,cincin ini
775,demen isun,cinta saya
776,erus dinggo jangan,ciduk sayur
777,acake dhisik,coba dulu
778,tulodho kang becik,contoh yang baik
779,doyong wit iku,condong pohon itu
780,mung siji,cuma satu
781,ketimbyang nangis,dari pada menangis
782,digenengaken ae,dibiarkan saja
783,parek umah isun,dekat rumah saya
784,di apeni isun,di bohongi saya
785,ndumpak lawang,depak
786,ndumpak lawang,sepak
787,ndumpak lawang,terjang pintu
788,kambi sapa,dengan siapa
789,takal-takalan nggolek duwit,dengan segala upaya mencari uang
790,ring umah,di rumah
791,di uwel makne,di marahi ibunya
792,digowo ae,dibawa saja
793,diterak mobil,dibawa dan terseret mobil
794,diered lemah,diseret tanah
795,nclob iwak,dimasukkan ke air ikan
796,bengen isun cilik,dulu saya kecil
797,wingek isun teko,dulu sekali saya datang
798,embuh arep nang endi,entah mau ke mana
799,alung mangan bakso,enakan makan bakso
800,ancang banyu,encer air
801,sungkan mangkat,enggan berangkat
802,amperu loro,empedu sakit
803,bukung buntute kucing,ekor terpotong ekor kucing
804,kecoh omongane,fasih
805,ganjur dawa,galah panjang
806,sengget wit,galah pohon
807,genten isun,ganti saya
808,gentenan nyapu,gantian menyapu
809,abete riko,gayamu  kamu
810,garit ring dalan,garis di jalan
811,gredoan lare iku,gurau
812,ongkeb awak,gerah
813,ontrag wong-wong,gempar orang-orang
814,jumbleng dalan,gelap jalan
815,aclak omongane,gaya bicara yang ekspresif dinamis dan dramatis
816,tatak atine,gigih hatinya
817,gurau isun,guru saya
818,muyab temenan,gurau sekali
819,nderini awak,gemetar badan
820,gempung roti,gosong roti
821,jibros rambute,gondrong dan kumal rambutnya
822,lutrek umah,hancur rumah
823,bebeng maling,hadang maling
824,serantan ae,hati-hati
825,mung riko,hanya kamu
826,sait maling,hajar maling
827,krutugh wong-wong,hajar beramai-ramai orang-orang
828,ruces wong-wong,heboh orang-orang
829,depani cobaan,hadapi cobaan
830,cemeng kucing,hitam kucing
831,nggelinseng wernane,hitam sekali warnanya
832,gothang duwit,hilang sedikit uang
833,mamut ae,hilang
834,enget isun,ingat saya
835,mak isun,ibu saya
836,rabi isun,istri saya
837,idek sikil,injak kaki
838,gejroh lemah,injak dg keras  tanah
839,cancang tali,ikat tali
840,inceng lare,intip anak
841,kuryangen mangan,ingin lagi makan
842,dyalan sepi,jalan sepi
843,nggeledrek sore,jalan-jalan keluar rumah sore
844,temebluk saka wit,jatuh dari pohon
845,cicir buah,jatuh dari atas buah
846,keseliring isun,jatuh karena salah jalan saya
847,kejiglang lare,jatuh tersandung
848,tibo kesereb,jatuh tertelungkup
849,kawus isun,jera saya
850,papag lare,jemput anak
851,ngelepek lare,jalan jalan tak menentu anak
852,sontok maling,jotos maling
853,carok isun,jumpa saya
854,perkul dinggo nebang,kampak untuk menebang
855,siro arep nang endi,kamu mau ke mana
856,kekok tangane,kaku tangannya
857,ngelencur tim,kalah sebelum bertanding tim
858,tasemak dinggo moto,kacamata untuk mata
859,kang isun pinter,kakak laki2 saya pintar
860,mbok isun ayu,kakak perempuan saya cantik
861,kang ilik nakal,kakak yang masih kecil nakal
862,polae udan,karena hujan
863,kepilis wong iku,kisinan orang itu
864,kagum isun,kagum saya
865,kadung riko teko,kalau kamu datang
866,kalah cacak menang apruo,kalah menang urusan belakang
867,kakik isun sepuh,kakek saya tua
868,welas asih,kasih sayang
869,hun tanggo riko,kira saya kamu
870,wingyenanek isun teko,kemarin saya datang
871,apuo nangis,kenapa menangis
872,keneng musibah,kena musibah
873,gegeten lare iku,ketakutan sekali anak itu
874,kuryangen madhang,ketagihan makan
875,rencek barang iku,kecil
876,kecobo riko,kecuali kamu
877,bucur kepalane,kepala yg berdarah kepalanya
878,kimbyang-kimbyang banyu,kebanyakan air
879,mongod-mongod isun,kenyang
880,tuwuk isun,kenyang
881,tuwuk isun,sering
882,tuwuk isun,puas saya
883,kenthel kopi,kental kopi
884,wangkot wong iku,keras kepala orang itu
885,karipan tangi,kesiangan
886,getuh banyu,keruh air
887,kecaruk isun,ketemu saya
888,kejolok banyu,kebanyakan air
889,umyan panganan,kebagian makanan
890,reki rambute,ketombe rambutnya
891,atos kayu,keras
892,ilir kipas,kipas
893,ilir-ilir lare,kipas-kipas anak
894,kenyab lare,konyol anak
895,kenci awak,kurus badan
896,tatag atine,kuat hatinya
897,pethekel badane,kuat
898,pethekel badane,gagah
899,pethekel badane,berotot badannya
900,penging lare,larang anak
901,uwel lare,larang
902,di uwel makne,dilarang dgn marah2 ibunya
903,lesuh awak,letoy
904,lesuh awak,lemas badan
905,anguryan mangan,lebih baik makan
906,maning duwit,lagi uang
907,lawas ngenteni,lama menunggu
908,luwas klambi,lama
909,gyaros dodolan,laris jualan
910,dyamar lampu,lampu
911,dyamar telempek,lampu lentera
912,lancing iku,lelaki belum menikah itu
913,jangged lem,lengket lem
914,wero plataran,luas halaman
915,jelowokan lemah,lubang kecil tanah
916,juglangan lemah,lubang besar tanah
917,genjur buah,lunak sekali buah
918,borok sikil,luka
919,belethok dalan,lumpur jalan
920,lunyau dalan,licin jalan
921,semat dinggo nyulut,lidi untuk menyulut
922,liwyat isun,lewat saya
923,delengen tah kembang,lihatlah bunga
924,mlencung lare,lompat anak
925,lucau tingkahe,lucu tingkahnya
926,lodhong iro,mampus kau
927,endane riko teko,masak ? kamu datang
928,using tah riko melu,masak iya? kamu ikut
929,kebes geni,matikan api
930,gemulyak banyu,mendidih air
931,kenyab lare,mempermainkan yang lebih tua anak
932,masio udan,meskipun hujan
933,setalangan ono paran,memang ada apa
